Location: STANLEY II
Latitude:  -51.692
Longitude:  -57.821
Model,i,j,box_lon,box_lat
ACCESS1-0,302,38,302.0,-51.5
bcc-csm1-1,303,38,303.0,-51.5
CNRM-CM5,302,38,302.0,-51.5
CSIRO-Mk3-6-0,302,38,302.0,-51.5
CanESM2,302,38,302.0,-51.5
GFDL-ESM2G,303,38,303.0,-51.5
GFDL-ESM2M,303,38,303.0,-51.5
GISS-E2-R,302,38,302.0,-51.5
HadGEM2-CC,303,38,303.0,-51.5
HadGEM2-ES,303,38,303.0,-51.5
inmcm4,303,38,303.0,-51.5
IPSL-CM5A-LR,302,38,302.0,-51.5
IPSL-CM5A-MR,302,38,302.0,-51.5
MIROC-ESM,302,38,302.0,-51.5
MIROC-ESM-CHEM,302,38,302.0,-51.5
MIROC5,302,38,302.0,-51.5
MPI-ESM-LR,302,38,302.0,-51.5
MPI-ESM-MR,303,38,303.0,-51.5
MRI-CGCM3,302,38,302.0,-51.5
NorESM1-M,303,38,303.0,-51.5
NorESM1-ME,303,38,303.0,-51.5
